"No.","Time","Source","Destination","Protocol","Length","Info"
"223","12.049568489","195.154.2.103","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"224","12.085200367","192.168.209.220","192.168.209.97","DNS","176","Standard query response 0x0d40 No such name PTR 215.140.198.103.in-addr.arpa SOA ns.apnic.net"
"225","12.085207631","195.154.2.103","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"226","12.085207861","195.154.2.103","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"227","12.086163040","192.168.209.97","192.168.209.220","DNS","88","Standard query 0x9192 PTR 107.140.198.103.in-addr.arpa"
"228","12.125004309","192.168.209.220","192.168.209.97","DNS","176","Standard query response 0x9192 No such name PTR 107.140.198.103.in-addr.arpa SOA ns.apnic.net"
"229","12.126058424","192.168.209.97","192.168.209.220","DNS","86","Standard query 0x31c8 PTR 103.2.154.195.in-addr.arpa"
"232","12.876126653","192.168.209.220","192.168.209.97","DNS","153","Standard query response 0x31c8 No such name PTR 103.2.154.195.in-addr.arpa SOA nsa.online.net"
"233","12.876695822","192.168.209.97","163.172.208.7","UDP","114","45548  >  33518 Len=72"
"234","12.876729940","192.168.209.97","163.172.208.7","UDP","114","32854  >  33519 Len=72"
"235","12.876743950","192.168.209.97","163.172.208.7","UDP","114","34931  >  33520 Len=72"
"236","12.876755750","192.168.209.97","163.172.208.7","UDP","114","46979  >  33521 Len=72"
"237","12.876767794","192.168.209.97","163.172.208.7","UDP","114","60777  >  33522 Len=72"
"238","12.876780188","192.168.209.97","163.172.208.7","UDP","114","50461  >  33523 Len=72"
"239","12.876792111","192.168.209.97","163.172.208.7","UDP","114","45445  >  33524 Len=72"
"240","12.877185417","192.168.209.97","192.168.209.220","DNS","85","Standard query 0x27be PTR 135.0.210.62.in-addr.arpa"
"241","13.334203890","62.210.175.218","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"242","13.334209994","195.154.2.103","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"243","13.334210229","195.154.2.103","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"244","13.334210278","195.154.2.104","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"245","13.334210332","195.154.2.104","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"246","13.334210384","62.210.0.135","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"247","13.334210434","195.154.2.104","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"248","13.745553637","192.168.209.220","192.168.209.97","DNS","152","Standard query response 0x27be No such name PTR 135.0.210.62.in-addr.arpa SOA nsa.online.net"
"249","13.746651705","192.168.209.97","192.168.209.220","DNS","86","Standard query 0xda3d PTR 103.2.154.195.in-addr.arpa"
"250","13.749426779","192.168.209.220","192.168.209.97","DNS","86","Standard query response 0xda3d No such name PTR 103.2.154.195.in-addr.arpa"
"251","13.750351770","192.168.209.97","192.168.209.220","DNS","85","Standard query 0xea4c PTR 135.0.210.62.in-addr.arpa"
"252","13.752800673","192.168.209.220","192.168.209.97","DNS","85","Standard query response 0xea4c No such name PTR 135.0.210.62.in-addr.arpa"
"253","13.753767633","192.168.209.97","192.168.209.220","DNS","86","Standard query 0xdd6c PTR 103.2.154.195.in-addr.arpa"
"254","13.756718931","192.168.209.220","192.168.209.97","DNS","86","Standard query response 0xdd6c No such name PTR 103.2.154.195.in-addr.arpa"
"255","13.757355857","192.168.209.97","163.172.208.7","UDP","114","43641  >  33525 Len=72"
"256","13.757386898","192.168.209.97","163.172.208.7","UDP","114","48893  >  33526 Len=72"
"257","13.757400416","192.168.209.97","163.172.208.7","UDP","114","58814  >  33527 Len=72"
"258","13.757412249","192.168.209.97","163.172.208.7","UDP","114","57025  >  33528 Len=72"
"259","13.757424471","192.168.209.97","163.172.208.7","UDP","114","33403  >  33529 Len=72"
"260","13.757436417","192.168.209.97","163.172.208.7","UDP","114","49888  >  33530 Len=72"
"261","13.757448585","192.168.209.97","163.172.208.7","UDP","114","57782  >  33531 Len=72"
"262","13.757460751","192.168.209.97","163.172.208.7","UDP","114","48591  >  33532 Len=72"
"263","13.757472493","192.168.209.97","163.172.208.7","UDP","114","40186  >  33533 Len=72"
"264","13.757916330","192.168.209.97","192.168.209.220","DNS","86","Standard query 0x24ae PTR 103.2.154.195.in-addr.arpa"
"265","13.762681998","192.168.209.220","192.168.209.97","DNS","86","Standard query response 0x24ae No such name PTR 103.2.154.195.in-addr.arpa"
"266","13.763325747","192.168.209.97","192.168.209.220","DNS","86","Standard query 0x7750 PTR 104.2.154.195.in-addr.arpa"
"267","14.308960718","62.210.175.218","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"268","14.308961314","192.168.209.220","192.168.209.97","DNS","153","Standard query response 0x7750 No such name PTR 104.2.154.195.in-addr.arpa SOA nsa.online.net"
"269","14.308961091","51.158.143.1","192.168.209.97","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"270","14.308961905","195.154.2.104","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"271","14.308962040","195.154.2.104","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"272","14.308960942","62.210.175.218","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"273","14.308962083","195.154.2.104","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"274","14.308960985","62.210.175.218","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"275","14.309847504","192.168.209.97","192.168.209.220","DNS","87","Standard query 0x8fe2 PTR 218.175.210.62.in-addr.arpa"
"276","14.359309680","192.168.209.220","192.168.209.97","DNS","125","Standard query response 0x8fe2 PTR 218.175.210.62.in-addr.arpa PTR grokouik.poneytelecom.eu"
"277","14.360197698","192.168.209.97","192.168.209.220","DNS","85","Standard query 0x3e16 PTR 135.0.210.62.in-addr.arpa"
"278","14.364105136","192.168.209.220","192.168.209.97","DNS","85","Standard query response 0x3e16 No such name PTR 135.0.210.62.in-addr.arpa"
"279","14.364957054","192.168.209.97","192.168.209.220","DNS","86","Standard query 0x069d PTR 104.2.154.195.in-addr.arpa"
"280","14.368397246","192.168.209.220","192.168.209.97","DNS","86","Standard query response 0x069d No such name PTR 104.2.154.195.in-addr.arpa"
"281","14.368977414","192.168.209.97","163.172.208.7","UDP","114","51733  >  33534 Len=72"
"282","14.369008624","192.168.209.97","163.172.208.7","UDP","114","56317  >  33535 Len=72"
"283","14.369021063","192.168.209.97","163.172.208.7","UDP","114","49619  >  33536 Len=72"
"284","14.369033224","192.168.209.97","163.172.208.7","UDP","114","53142  >  33537 Len=72"
"285","14.369045026","192.168.209.97","163.172.208.7","UDP","114","60291  >  33538 Len=72"
"286","14.369078415","192.168.209.97","163.172.208.7","UDP","114","38863  >  33539 Len=72"
"287","14.369090577","192.168.209.97","163.172.208.7","UDP","114","51374  >  33540 Len=72"
"288","14.369166917","192.168.209.97","163.172.208.7","UDP","114","54882  >  33541 Len=72"
"289","14.369179328","192.168.209.97","163.172.208.7","UDP","114","41137  >  33542 Len=72"
"290","14.369191278","192.168.209.97","163.172.208.7","UDP","114","39377  >  33543 Len=72"
"291","14.369203857","192.168.209.97","163.172.208.7","UDP","114","59836  >  33544 Len=72"
"292","14.369215629","192.168.209.97","163.172.208.7","UDP","114","52801  >  33545 Len=72"
"293","14.369227451","192.168.209.97","163.172.208.7","UDP","114","46218  >  33546 Len=72"
"294","14.369238975","192.168.209.97","163.172.208.7","UDP","114","40614  >  33547 Len=72"
"298","14.597199947","51.158.143.3","192.168.209.97","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"299","14.597224764","195.154.2.104","192.168.209.97","ICMP","110","Time-to-live exceeded (Time to live exceeded in transit)"
"300","14.597200218","51.158.143.1","192.168.209.97","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"301","14.597370620","192.168.209.97","163.172.208.7","UDP","114","47582  >  33548 Len=72"
"302","14.597404155","192.168.209.97","163.172.208.7","UDP","114","51597  >  33549 Len=72"
"303","14.597418038","192.168.209.97","163.172.208.7","UDP","114","34199  >  33550 Len=72"
"304","14.605568937","51.158.143.3","192.168.209.97","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"305","14.605783387","192.168.209.97","163.172.208.7","UDP","114","50932  >  33551 Len=72"
"306","14.613201990","51.158.143.3","192.168.209.97","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"307","14.613202301","163.172.208.7","192.168.209.97","ICMP","142","Destination unreachable (Port unreachable)"
"308","14.613202485","163.172.208.7","192.168.209.97","ICMP","142","Destination unreachable (Port unreachable)"
"309","14.624458041","51.158.143.3","192.168.209.97","ICMP","70","Time-to-live exceeded (Time to live exceeded in transit)"
"310","14.633429842","163.172.208.7","192.168.209.97","ICMP","142","Destination unreachable (Port unreachable)"
"311","14.641218209","163.172.208.7","192.168.209.97","ICMP","142","Destination unreachable (Port unreachable)"
"312","14.645755941","163.172.208.7","192.168.209.97","ICMP","142","Destination unreachable (Port unreachable)"
"313","14.652630571","163.172.208.7","192.168.209.97","ICMP","142","Destination unreachable (Port unreachable)"
"339","15.416607324","192.168.209.97","192.168.209.220","DNS","86","Standard query 0x5ced PTR 104.2.154.195.in-addr.arpa"
"340","15.420182780","192.168.209.220","192.168.209.97","DNS","86","Standard query response 0x5ced No such name PTR 104.2.154.195.in-addr.arpa"
"341","15.421005713","192.168.209.97","192.168.209.220","DNS","85","Standard query 0x61c5 PTR 1.143.158.51.in-addr.arpa"
"377","21.274287482","192.168.209.220","192.168.209.97","DNS","85","Standard query response 0x61c5 Server failure PTR 1.143.158.51.in-addr.arpa"
"392","28.646692202","192.168.209.97","192.168.209.220","DNS","85","Standard query 0x18bb PTR 3.143.158.51.in-addr.arpa"
"398","31.924325664","192.168.209.220","192.168.209.97","DNS","85","Standard query response 0x18bb Server failure PTR 3.143.158.51.in-addr.arpa"
"399","31.925254063","192.168.209.97","192.168.209.220","DNS","85","Standard query 0x6d26 PTR 1.143.158.51.in-addr.arpa"
